ID	Cote	Date_categorie	Datation	Contenu	Lien à la page	Ecriture	Formalité	Nombre de lignes par page complète	Nombre de colonnes	Gallica
375	AUXERRE, Trésor de la Cathédrale, n°020	16	1501-1600	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=16682&VUE_ID=1416157	Humanistique	Formata	21	1	
1299	PARIS, Petit Palais, Musée des Beaux-Arts de la ville de Paris, LDUT 0037	16 (1/3)	1526-1540)	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=19010&VUE_ID=1659704	Humanistique	Formata	20	1	
972	PARIS, Bibliothèque Mazarine, Rés. 34964	15 (3/3)	1497-1498 post	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=14881&VUE_ID=1381756	Cursiva	Formata	33	1	
1730	Paris, Bibl. Nat. Smith-Lesouëf 24	15 (3/3)	1475-1500 [CMD 1478 post]			Cursiva	Libraria		1	http://gallica.bnf.fr/ark:/12148/btv1b105222685
993	MULHOUSE, Bibliothèque de l'Université et de la Société Industrielle, 0003	15	1401-1500	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=936&VUE_ID=347816	Cursiva	Formata	25	1	
1544	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 1427	16	15..			Cursiva	Formata	17	1	http://gallica.bnf.fr/ark:/12148/btv1b90680221.r=.langFR
1621	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 13284	16 (1/3)	1501-1525						1	oo
1817	PARIS, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 222	16	15..							oo
1715	Paris, Bibl. Nat. Fr. 2224	16 (1/3)	1501-1525			Hybrida	Formata		1	http://gallica.bnf.fr/ark:/12148/btv1b85397092 et http://gallica.bnf.fr/ark:/12148/btv1b90581668.r=.langFR
1510	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 1391	16 (1/3)	1525-1550			Semitextualis	Formata	19	1	oo
1486	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 1366	15 (3/3)	1490?			Cursiva	Libraria		1	oo
522	CHARTRES, Bibliothèque municipale, nouv. acq. 167	15	1401-1500	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=2704&VUE_ID=692385	Textualis	Formata	18	1	
869	CHARTRES, Bibliothèque municipale, 1808	15	1401-1500	"Heures ; Oraison à la Vierge"						
1762	PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 3116	15-16	1500?			Cursiva	Formata			oo
1941	London, British Library, MS Add. 39641	15 (3/3)	1498 ca							
1679	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 18035	16 (3/3)	1550-1592						1	oo
516	AVIGNON, Bibliothèque municipale, rés. 203	16 (1/3)	1533)	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=15616&VUE_ID=1396230	Textualis	Formata	31	1	
913	NON RENSEIGNÉE, Collection privée, CP 0332	16 (1/3)	1510 circa)	Heures à l'usage de Paris						
